"state","school_name","district","address","latitude","longitude","overall_score","state_rank","national_rank","ap_taken_pct","ap_passed_pct","math_proficiency","reading_proficiency","science_proficiency","graduation_rate","graduation_rate_raw","year","source_url"
"Alabama","Fairhope High School","Baldwin County Public Schools","18800 Greeno Rd, Fairhope, Alabama 36532",30.498791558233,-87.886115177898,94.91,6,912,49,34,54,70,64,93,"93%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/baldwin-county-public-schools/fairhope-high-school-28"
"Alabama","Orange Beach Middle High School","Baldwin County Public Schools","23908 Canal Road, Orange Beach, Alabama 36561",30.290234593515,-87.617709242495,71.73,70,5061,51,26,40,34,47,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/baldwin-county-public-schools/orange-beach-middle-high-school-409710"
"Alabama","Spanish Fort High School","Baldwin County Public Schools","One Plaza De Toros, Spanish Fort, Alabama 36527",30.688068974032,-87.853209874667,82.58,32,3118,40,16,50,62,56,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/baldwin-county-public-schools/spanish-fort-high-school-33"
"Alabama","Autaugaville School","Autauga County","2708 Dutch Bend St, Autaugaville, Alabama 36003",32.433785640424,-86.659531156763,,,,,,,,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/autauga-county/autaugaville-school-26"
"Alabama","Bessemer City High School","Bessemer City","4950 Premiere Parkway, Bessemer, Alabama 35022",33.369464126122,-87.000584437978,,,,,,2,8,8,84,"84%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/bessemer-city/bessemer-city-high-school-35"
"Alabama","Benjamin Russell High School","Alexander City","225 Heard Blvd, Alexander City, Alabama 35010",32.937755410677,-85.952245087042,44.84,140,9873,24,7,21,33,32,94,"94%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/alexander-city/benjamin-russell-high-school-16"
"Alabama","Ramsay High School","Birmingham City","1800 13th Ave S, Birmingham, Alabama 35205",33.497186099219,-86.798349518788,87.39,22,2257,61,12,24,43,40,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/birmingham-city/ramsay-high-school-41"
"Alabama","Greenville High School","Butler County","100 Tiger Dr, Greenville, Alabama 36037",31.826953601932,-86.64816067928,,,,,,14,18,18,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/butler-county/greenville-high-school-53"
"Alabama","West Blocton High School","Bibb County","4734 Truman Aldrich Parkway, West Blocton, Alabama 35184",33.112143600154,-87.129581496392,38.35,156,11036,25,10,20,26,28,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/bibb-county/west-blocton-high-school-37"
"Alabama","Huffman High School Magnet","Birmingham City","900 Springville Rd, Birmingham, Alabama 35215",33.610124700828,-86.683325620138,,,,7,0,5,10,13,93,"93%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/birmingham-city/huffman-high-school-magnet-38"
"Alabama","Parker High School","Birmingham City","400 Abraham Woods Jr Blvd, Birmingham, Alabama 35204",33.51530446369,-86.829880106649,,,,18,0,3,,8,83,"83%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/birmingham-city/parker-high-school-40"
"Alabama","Cleveland High School","Blount County","71 High School St, Cleveland, Alabama 35049",33.993160572825,-86.574616155107,42.7,144,10257,,,,39,39,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/blount-county/cleveland-high-school-46"
"Alabama","Wenonah High School","Birmingham City","2800 Wilson Rd Sw, Birmingham, Alabama 35221",33.454661996771,-86.883670975869,,,,18,1,,3,3,88,"88%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/birmingham-city/wenonah-high-school-42"
"Alabama","Jackson-Olin High School","Birmingham City","1300 Avenue F Ensley, Birmingham, Alabama 35218",33.517912564908,-86.891679335064,,,,15,0,1,3,4,87,"87%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/birmingham-city/jackson-olin-high-school-39"
"Alabama","Hayden High School","Blount County","125 Atwood Road, Hayden, Alabama 35079",33.890836648326,-86.769289944212,,,,,,28,32,33,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/blount-county/hayden-high-school-47"
"Alabama","Sand Rock High School","Cherokee County","1950 Sand Rock Avenue, Sand Rock, Alabama 35983",34.240909979791,-85.767349994633,40.25,149,10696,,,,34,38,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/cherokee-county/sand-rock-high-school-68"
"Alabama","Alexandria High School","Calhoun County","353 Stadium Dr, Alexandria, Alabama 36250",33.77559637453,-85.885622658461,54.1,111,8217,,,32,51,50,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/calhoun-county/alexandria-high-school-56"
"Alabama","Bibb County High School","Bibb County","220 Birmingham Rd, Centreville, Alabama 35042",32.950770543223,-87.144321788587,58.16,101,7489,17,12,15,23,30,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/bibb-county/bibb-county-high-school-36"
"Alabama","Bcs Virtual Academy of Learning","Birmingham City","3900 24th Street North, Birmingham, Alabama 35207",33.558797862924,-86.823411118137,,,,,,,,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/birmingham-city/bcs-virtual-academy-of-learning-431944"
"Alabama","Valley High School","Chambers County","501 Highway 29, Valley, Alabama 36854",32.801983008286,-85.180928865851,,,,,,13,12,15,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/chambers-county/valley-high-school-64"
"Alabama","Susan Moore High School","Blount County","4040 Susan Moore Rd, Blountsville, Alabama 35031",34.083577793664,-86.429039365957,29.54,186,12612,,,21,,24,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/blount-county/susan-moore-high-school-50"
"Alabama","Jb Pennington High School","Blount County","81 College St, Blountsville, Alabama 35031",34.085485643423,-86.589070857718,,,,,,19,,21,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/blount-county/jb-pennington-high-school-48"
"Alabama","Cherokee County High School","Cherokee County","910 Warrior Dr, Centre, Alabama 35960",34.164522228947,-85.659121634589,57.63,103,7585,16,8,28,,31,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/cherokee-county/cherokee-county-high-school-66"
"Alabama","Woodlawn High Sch-Magnet","Birmingham City","5620 First Ave N, Birmingham, Alabama 35212",33.541230755486,-86.751427414556,,,,25,0,1,,12,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/birmingham-city/woodlawn-high-sch-magnet-43"
"Alabama","Southeastern School","Blount County","18770 State Highway 75, Remlap, Alabama 35133",33.831700189739,-86.583784992197,,,,37,10,,,29,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/blount-county/southeastern-school-153176"
"Alabama","Boaz High School","Boaz City","907 Brown St, Boaz, Alabama 35957",34.210239396121,-86.165072718862,52.91,114,8430,33,6,18,15,33,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/boaz-city/boaz-high-school-13"
"Alabama","Wellborn High School","Calhoun County","135 Pinson Rd, Anniston, Alabama 36201",33.652466431532,-85.882964996169,31.79,172,12210,,,,27,21,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/calhoun-county/wellborn-high-school-62"
"Alabama","McKenzie High School","Butler County","221 North Garland Road, Mckenzie, Alabama 36456",31.542195093705,-86.71780545841,,,,,,,,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/butler-county/mckenzie-high-school-54"
"Alabama","Saks High School","Calhoun County","4401 Saks Rd, Anniston, Alabama 36206",33.70183183001,-85.837638400889,38.4,155,11026,,,,26,21,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/calhoun-county/saks-high-school-58"
"Alabama","Georgiana School","Butler County","866 Highway 31 South, Georgiana, Alabama 36033",31.630158014305,-86.729713361743,,,,,,,,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/butler-county/georgiana-school-55"
"Alabama","T.R. Miller High School","Brewton City","1835 Douglas Ave, Brewton, Alabama 36426",31.137563046668,-87.068826505061,88.97,19,1974,52,41,34,38,45,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/brewton-city/t-r-miller-high-school-51"
"Alabama","Pleasant Valley High School","Calhoun County","4141 Pleasant Valley Rd, Jacksonville, Alabama 36265",33.885086008847,-85.814900638897,48.08,130,9293,,,40,38,49,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/calhoun-county/pleasant-valley-high-school-61"
"Alabama","Bullock County High School","Bullock County","911 Sardis Road, Union Springs, Alabama 36089",32.129480870956,-85.724384586478,,,,40,0,,,13,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/bullock-county/bullock-county-high-school-52"
"Alabama","Appalachian School","Blount County","350 County Highway 12, Oneonta, Alabama 35121",33.888620766878,-86.397609097367,,,,,,,,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/blount-county/appalachian-school-45"
"Alabama","Inspire Virtual Academy","Chambers County","318 Avc Drive, Lafayette, Alabama 36862",32.894842,-85.416772,,,,,,,,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/chambers-county/inspire-virtual-academy-409711"
"Alabama","Locust Fork High School","Blount County","77 School Rd, Locust Fork, Alabama 35097",33.908036912627,-86.617468186565,,,,33,13,,,27,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/blount-county/locust-fork-high-school-49"
